GS,GWlb,GW
192.33,308289.06,137.6294851
194.25,308280.94,137.62586
195.65,308272.81,137.6222306
197.93,308263.63,137.6181323
199.54,308256.5,137.6149493
202.08,308248.38,137.6113243
203.86,308238.53,137.6069269
206.57,308230.34,137.6032707
208.33,308222.13,137.5996055
210.97,308213.94,137.5959492
212.72,308205.69,137.5922662
215.33,308197.03,137.5884001
217.04,308189.19,137.5849001
220.96,308180.97,137.5812304
220.96,308172.72,137.5775474
222.83,308164.47,137.5738643
223.98,308155.22,137.5697349
225.44,308148,137.5665116
226.33,308139.72,137.5628152
227.55,308131.47,137.5591322
228.42,308131.47,137.5591322
229.86,308121.44,137.5546545
230.89,308113.19,137.5509714
232.55,308105,137.5473152
233.75,308096.63,137.5435785
235.59,308088.66,137.5400205
236.83,308080.44,137.5363508
238.76,308072.25,137.5326946
240.05,308062.59,137.5283821
243.26,308054.38,137.5247169
243.26,308046.19,137.5210606
245.15,308036.97,137.5169445
246.43,308029.13,137.5134445
248.26,308021.5,137.5100382
249.53,308013.31,137.506382
251.36,308005.03,137.5026855
252.58,307995.75,137.4985427
254.37,307987.47,137.4948462
255.55,307980.06,137.4915382
257.22,307972.03,137.4879534
258.28,307963.34,137.4840739
259.75,307955.5,137.4805739
260.61,307946.25,137.4764444
261.8,307939,137.4732078
262.5,307930.75,137.4695247
263.94,307922.47,137.4658283
263.94,307912.56,137.4614042
264.51,307904.28,137.4577077
264.78,307896.09,137.4540515
265.03,307886.78,137.4498952
265.05,307879.59,137.4466854
265.06,307871.38,137.4430202
265.07,307863.22,137.4393773
265.14,307855.06,137.4357344
265.24,307846.91,137.432096
265.56,307838.81,137.4284799
265.86,307830.75,137.4248817
266.38,307822.69,137.4212835
266.77,307814.66,137.4176987
267.48,307806.59,137.414096
267.95,307798.56,137.4105111
269.29,307790.56,137.4069397
269.29,307781.97,137.4031049
270.03,307774.59,137.3998102
270.51,307766.59,137.3962388
271.22,307757.06,137.3919843
271.68,307749.09,137.3884262
272.38,307741.19,137.3848995
272.82,307733.25,137.3813548
273.47,307725.31,137.3778101
273.92,307717.22,137.3741985
274.55,307709.56,137.3707789
274.92,307701.69,137.3672655
275.47,307693.81,137.3637476
275.81,307686,137.360261
276.25,307676.59,137.3560601
276.51,307668.78,137.3525735
277.15,307668.78,137.3525735
277.15,307659.25,137.348319
277.56,307651.5,137.3448591
277.84,307643.72,137.3413859
278.34,307635.97,137.3379261
278.7,307628.22,137.3344663
279.23,307619.5,137.3305734
279.56,307612.75,137.32756
280.02,307605.06,137.3241269
280.31,307597.38,137.3206984
280.73,307589.5,137.3171805
280.94,307582,137.3138323
281.28,307573.03,137.3098278
281.43,307565.34,137.3063947
281.67,307557.69,137.3029795
281.81,307549.81,137.2994617
282.13,307542.38,137.2961447
282.13,307534.75,137.2927384
282.27,307527.16,137.28935
282.36,307518.38,137.2854304
282.48,307509.47,137.2814527
282.6,307502.84,137.2784929
282.77,307495.25,137.2751045
282.88,307487.69,137.2717294
283.09,307480.13,137.2683544
283.31,307472.56,137.264975
283.75,307465.16,137.2616714
284,307457.56,137.2582785
284.25,307451.13,137.255408
284.49,307444.25,137.2523365
284.8,307437.53,137.2493365
285.03,307430.88,137.2463678
285.59,307424.44,137.2434927
285.59,307417.78,137.2405195
285.76,307412.16,137.2380106
285.83,307406.22,137.2353588
285.94,307400.13,137.23264
285.96,307394.38,137.2300731
286,307388.44,137.2274213
286.03,307382.5,137.2247695
286.03,307375.41,137.2216043
286.12,307369.28,137.2188677
286.24,307363.88,137.2164569
286.37,307358.25,137.2139435
286.52,307352.88,137.2115462
286.58,307347.78,137.2092694
286.66,307342.97,137.2071221
286.65,307338.28,137.2050283
286.48,307332.81,137.2025864
286.48,307328.31,137.2005774
286.25,307328.31,137.2005774
286.12,307322.88,137.1981533
286.07,307318,137.1959747
286.15,307314.38,137.1943587
286.14,307310.5,137.1926265
286.02,307306.72,137.190939
285.82,307302.88,137.1892247
285.7,307299.09,137.1875327
285.46,307295.31,137.1858452
285.31,307291.34,137.1840729
285.21,307287.56,137.1823854
285.13,307283.78,137.1806979
285.17,307279.88,137.1789568
285.23,307275.97,137.1772113
285.5,307272.03,137.1754524
285.5,307268.19,137.1737381
285.69,307263.91,137.1718273
285.83,307260.59,137.1703452
286.03,307256.88,137.1686889
286.18,307253.19,137.1670416
286.41,307249.47,137.1653809
286.55,307245.94,137.163805
286.88,307242.41,137.1622291
287.06,307238.5,137.1604836
287.37,307235.53,137.1591577
287.57,307232.25,137.1576934
287.86,307229.13,137.1563005
288.03,307226.06,137.15493
288.25,307223.16,137.1536353
288.4,307220.25,137.1523362
288.62,307216.88,137.1508317
288.62,307214.03,137.1495594
288.68,307211.47,137.1484166
288.74,307208.78,137.1472157
288.83,307206.19,137.1460594
288.94,307203.66,137.1449299
289.08,307201.22,137.1438406
289.14,307198.88,137.142796
289.28,307196.5,137.1417335
289.32,307194.41,137.1408005
289.41,307191.91,137.1396844
289.4,307189.94,137.1388049
289.37,307187.97,137.1379254
289.34,307186.06,137.1370728
289.23,307184.19,137.1362379
289.1,307182.28,137.1353853
288.73,307180.34,137.1345192
288.73,307178.22,137.1335728
288.44,307176.56,137.1328317
288.28,307174.63,137.1319701
287.93,307172.22,137.1308942
287.68,307170.13,137.1299611
287.36,307168.03,137.1290236
287.13,307165.88,137.1280638
286.82,307163.72,137.1270995
286.67,307161.16,137.1259567
286.49,307159.28,137.1251174
286.39,307157.06,137.1241263
286.27,307154.78,137.1231084
286.2,307152.13,137.1219254
286.2,307148.78,137.1204299
286.19,307145.81,137.119104
286.3,307142.5,137.1176263
286.3,307142.5,137.1176263
286.5,307138.53,137.1158539
286.68,307134.97,137.1142647
287.03,307131.16,137.1125638
287.32,307127.25,137.1108182
287.7,307123.19,137.1090057
287.99,307118.88,137.1070816
288.33,307113.75,137.1047914
288.55,307109.84,137.1030459
288.8,307105.06,137.1009119
289.01,307099.19,137.0982914
289.23,307094,137.0959744
289.3,307088.56,137.0935458
289.29,307083.19,137.0911485
289.18,307077.5,137.0886083
288.75,307070.78,137.0856083
288.75,307065.72,137.0833494
288.49,307059.56,137.0805994
288.37,307053.22,137.077769
288.24,307046.75,137.0748806
288.22,307040.09,137.0719074
288.27,307032.25,137.0684074
288.31,307026.31,137.0657556
288.46,307019.25,137.0626038
288.56,307012.06,137.0593939
288.73,307004.88,137.0561886
288.76,306997.72,137.0529921
288.71,306990.38,137.0497153
288.66,306982.31,137.0461127
288.53,306976.25,137.0434073
288.43,306967.72,137.0395992
288.01,306960.63,137.0364341
288.01,306953.56,137.0332778
287.77,306946.53,137.0301394
287.61,306939.44,137.0269742
287.51,306932.41,137.0238358
287.51,306924.53,137.0203179
287.65,306918.41,137.0175858
287.88,306911.41,137.0144608
288.34,306904.41,137.0113358
288.75,306896.06,137.0076081
289.52,306888.72,137.0043313
290.1,306881.28,137.0010098
291.11,306875.16,136.9982777
291.9,306868.13,136.9951393
293.18,306861.22,136.9920544
294.11,306854.28,136.9889562
296.73,306847.31,136.9858446
296.73,306839.5,136.982358
298.49,306833.41,136.9796392
299.74,306825.03,136.9758981
301.68,306818.03,136.9727731
302.99,306811.03,136.9696481
305.02,306811.03,136.9696481
306.41,306802.47,136.9658267
308.52,306795.44,136.9626883
309.9,306787.25,136.959032
311.96,306780.19,136.9558802
313.26,306773.03,136.9526838
315.14,306763.72,136.9485275
316.37,306757.78,136.9458757
318.02,306750.75,136.9427373
319.06,306743.72,136.9395989
321.28,306735.28,136.9358311
321.28,306728.25,136.9326926
322.34,306721.31,136.9295944
322.97,306714.31,136.9264694
323.86,306707.38,136.9233757
324.45,306699.31,136.919773
325.2,306693.38,136.9171256
325.67,306685,136.9133846
326.38,306678.03,136.9102729
326.86,306671.06,136.9071613
327.61,306664.16,136.9040809
328.18,306657.19,136.9009693
329.03,306650.28,136.8978845
329.62,306642.47,136.8943979
330.44,306636.41,136.8916925
331.05,306629.44,136.8885809
332.51,306622.53,136.8854961
332.51,306615.59,136.8823978
333.31,306608.69,136.8793175
333.79,306601.78,136.8762326
334.35,306594.53,136.872996
334.69,306588,136.8700808
335.14,306581.09,136.866996
335.35,306574.22,136.863929
335.64,306567.34,136.8608576
335.84,306567.34,136.8608576
336.15,306558.97,136.857121
336.35,306552.13,136.8540674
336.58,306545.31,136.8510227
336.71,306537.63,136.8475942
337,306531.69,136.8449424
337.16,306524.84,136.8418843
337.64,306518.06,136.8388575
337.64,306511.25,136.8358173
338,306504.47,136.8327905
338.31,306496.53,136.8292459
338.85,306489.75,136.8262191
339.17,306482.81,136.8231209
339.65,306476.19,136.8201655
339.98,306469.41,136.8171387
340.47,306462.63,136.8141119
340.8,306455.88,136.8110985
341.26,306449.09,136.8080672
341.55,306442.34,136.8050538
342.02,306435.59,136.8020404
342.32,306427.44,136.798402
342.74,306420.72,136.795402
343.01,306413.97,136.7923886
343.67,306407.19,136.7893618
343.67,306400.47,136.7863618
344.06,306393.75,136.7833618
344.28,306386.72,136.7802234
344.61,306379.16,136.7768484
344.78,306373.63,136.7743796
345.04,306366.91,136.7713796
345.23,306358.94,136.7678216
345.43,306352.25,136.764835
345.56,306345.56,136.7618484
345.8,306338.94,136.758893
345.93,306332.25,136.7559064
346.11,306324.56,136.7524733
346.22,306318.91,136.749951
346.44,306312.25,136.7469778
346.53,306305.63,136.7440224
346.79,306297.63,136.740451
346.79,306297.63,136.740451
346.95,306289.56,136.7368483
347.1,306282.94,136.7338929
347.4,306276.31,136.7309331
347.6,306269.69,136.7279777
347.9,306262.78,136.7248929
348.17,306256.5,136.7220893
348.56,306249.91,136.7191473
348.8,306243.31,136.7162009
349.18,306236.72,136.7132589
349.43,306228.81,136.7097276
349.75,306222.22,136.7067857
349.99,306215.81,136.7039241
350.29,306209.22,136.7009821
350.5,306201.63,136.6975937
350.94,306196.06,136.6951071
350.94,306189.44,136.6921517
351.19,306182.91,136.6892365
351.37,306175.03,136.6857186
351.62,306168.5,136.6828035
351.77,306162,136.6799017
352.02,306154.5,136.6765534
352.16,306149,136.6740981
352.43,306142.44,136.6711695
352.62,306135.94,136.6682677
352.85,306129.06,136.6651963
353.02,306121.91,136.6620043
353.25,306116.38,136.6595355
353.42,306108.63,136.6560757
353.66,306102.13,136.6531739
353.87,306095.69,136.6502989
354.33,306089.19,136.6473971
354.33,306082.69,136.6444953
354.62,306076.25,136.6416203
354.84,306069.81,136.6387453
355.15,306063.03,136.6357185
355.34,306055.91,136.6325399
355.65,306050.44,136.6300979
355.86,306042.69,136.6266381
356.19,306036.25,136.6237631
356.36,306029.84,136.6209015
356.64,306023.41,136.6180309
356.83,306016.97,136.6151559
357.1,306010.25,136.6121559
357.27,306003.22,136.6090175
357.53,305997.78,136.6065889
357.72,305991.38,136.6037318
358.11,305984.97,136.6008702
358.11,305984.97,136.6008702
358.37,305977.09,136.5973523
358.54,305970.69,136.5944951
358.78,305964.34,136.5916603
358.92,305957.97,136.5888165
359.11,305951.56,136.5859549
359.23,305944.22,136.5826781
359.44,305938.78,136.5802496
359.57,305932.44,136.5774192
359.78,305926.09,136.5745844
359.9,305918.63,136.571254
360.08,305912.28,136.5684192
360.21,305905.94,136.5655888
360.41,305899.63,136.5627718
360.53,305893.34,136.5599638
361.01,305886.22,136.5567852
361.01,305880.69,136.5543164
361.35,305874.44,136.5515262
361.55,305868.31,136.5487896
361.95,305862.25,136.5460843
362.19,305855.13,136.5429057
362.57,305849.44,136.5403655
362.84,305843.81,136.5378521
363.26,305838.25,136.5353699
363.54,305832,136.5325798
363.87,305827.72,136.530669
364.08,305822.63,136.5283967
364.34,305817.69,136.5261913
364.49,305812.81,136.5240128
364.69,305808,136.5218654
364.83,305802.28,136.5193119
365.07,305797.72,136.5172761
365.07,305793.03,136.5151824
365.21,305788.41,136.5131199
365.32,305783.56,136.5109547
365.47,305778.44,136.508669
365.62,305774.44,136.5068832
365.89,305769.78,136.5048029
366.13,305765.03,136.5026823
366.61,305760,136.5004368
366.97,305753.41,136.4974948
367.77,305747.63,136.4949145
368.38,305741.19,136.4920395
369.46,305734.59,136.489093
370.24,305729.28,136.4867225
371.53,305723.03,136.4839323
372.43,305723.03,136.4839323
374.8,305715.25,136.4804591
374.8,305708.25,136.477334
376.28,305703.03,136.4750037
377.24,305696.84,136.4722403
378.69,305690.03,136.4692001
379.62,305682.94,136.4660349
381,305676.72,136.4632581
381.86,305669.47,136.4600215
383.05,305662.91,136.4570929
383.78,305656.03,136.4540215
384.69,305650.72,136.4516509
385.21,305644.47,136.4488607
385.85,305638.22,136.4460706
386.17,305632,136.4432938
386.53,305625.72,136.4404902
386.73,305619.5,136.4377134
387.34,305612,136.4343652
387.34,305605.81,136.4316018
387.84,305599.63,136.4288428
388.18,305593.41,136.426066
388.72,305587.19,136.4232892
389.09,305581,136.4205258
389.64,305574.81,136.4177624
390.08,305568.63,136.4150035
390.75,305561.63,136.4118785
391.19,305556.22,136.4094633
391.92,305550.06,136.4067133
392.5,305543.97,136.4039945
393.32,305537.88,136.4012758
393.92,305531.84,136.3985793
394.77,305525.81,136.3958874
395.33,305519.81,136.3932088
396.78,305513.53,136.3904052
396.78,305507.06,136.3875168
397.71,305507.06,136.3875168
398.28,305500.34,136.3845168
399.14,305495.56,136.3823829
399.66,305490.34,136.3800525
400.41,305485.31,136.3778069
400.85,305480.53,136.375673
401.45,305476.13,136.3737087
401.79,305471.88,136.3718114
402.28,305467.69,136.3699408
402.55,305463.09,136.3678873
403.02,305458.97,136.366048
403.27,305455.78,136.3646239
403.65,305452.22,136.3630346
403.91,305448.72,136.3614721
404.48,305445.31,136.3599497
404.48,305442,136.3584721
404.81,305438.72,136.3570078
404.99,305435.41,136.3555301
405.21,305432.47,136.3542176
405.31,305428.88,136.3526149
405.38,305425.91,136.351289
405.44,305423,136.3499899
405.39,305420.13,136.3487086
405.38,305417.28,136.3474363
405.33,305414.47,136.3461818
405.32,305411.69,136.3449408
405.27,305408.97,136.3437265
405.25,305406.13,136.3424586
405.2,305403.13,136.3411193
405.14,305399.97,136.3397086
404.97,305397.66,136.3386774
404.97,305395,136.3374899
404.85,305392.41,136.3363336
404.75,305389.78,136.3351595
404.6,305387.22,136.3340166
404.48,305384.66,136.3328738
404.29,305382.06,136.331713
404.15,305379.38,136.3305166
403.91,305376.53,136.3292443
403.76,305373.5,136.3278916
403.46,305371.22,136.3268737
403.26,305368.63,136.3257175
402.92,305368.63,136.3257175
402.65,305365.44,136.3242934
402.27,305362.84,136.3231327
401.99,305360.25,136.3219764
401.27,305357.69,136.3208335
401.27,305355.06,136.3196594
400.85,305352.47,136.3185032
400.61,305349.59,136.3172175
400.22,305347.22,136.3161594
399.99,305344.56,136.3149719
399.6,305341.91,136.3137889
399.36,305339.22,136.312588
399.07,305336.53,136.3113871
398.87,305333.81,136.3101728
398.61,305330.69,136.3087799
398.44,305328.25,136.3076906
398.19,305325.47,136.3064496
398.01,305322.16,136.3049719
397.85,305319.31,136.3036996
397.73,305316.5,136.3024451
397.41,305313.06,136.3009094
397.41,305310.19,136.2996281
397.25,305307.31,136.2983424
397.16,305304.41,136.2970478
397.03,305301.41,136.2957085
396.91,305298.16,136.2942576
396.82,305295.53,136.2930835
396.74,305292.56,136.2917576
396.67,305289.59,136.2904317
396.65,305286.59,136.2890924
396.59,305283,136.2874897
396.56,305279.97,136.286137
396.52,305276.97,136.2847977
396.49,305273.97,136.2834584
396.47,305270.75,136.2820209
396.43,305267.13,136.2804048
396.42,305264.25,136.2791191
396.42,305260.75,136.2775566
396.48,305257.13,136.2759405
396.55,305253.34,136.2742486
396.67,305248.59,136.272128
396.81,305244.5,136.2703021
397.06,305240.06,136.26832
397.25,305235.13,136.2661191
397.46,305231.44,136.2644718
397.62,305226.81,136.2624048
397.84,305222.03,136.2602709
397.98,305217.13,136.2580833
398.16,305212.09,136.2558333
398.26,305206.91,136.2535208
398.39,305206.91,136.2535208
398.44,305200.31,136.2505744
398.74,305194.53,136.247994
398.74,305188.13,136.2451369
398.94,305181.63,136.2422351
399.07,305176.47,136.2399315
399.3,305170.44,136.2372395
399.46,305164.28,136.2344895
399.67,305158.03,136.2316993
399.84,305151.78,136.2289091
400.06,305144.28,136.2255609
400.18,305138.03,136.2227707
400.42,305130.53,136.2194225
400.57,305124.28,136.2166323
400.82,305118.06,136.2138555
400.97,305111.88,136.2110966
401.21,305104.94,136.2079984
401.37,305099.56,136.2055966
401.81,305093.44,136.2028644
401.81,305087.25,136.200101
402.07,305081.06,136.1973376
402.24,305074.91,136.1945921
402.55,305068.81,136.1918688
402.73,305062.75,136.1891635
403.06,305056.34,136.1863019
403.23,305049.66,136.1833197
403.57,305044.5,136.1810161
403.82,305038.41,136.1782974
404.15,305032.31,136.1755742
404.42,305026.25,136.1728688
404.83,305019,136.1696322
405.11,305012.91,136.1669134
405.52,305006.81,136.1641902
405.8,305000.44,136.1613464
406.45,304994.66,136.1587661
406.45,304988.56,136.1560428
406.78,304982.53,136.1533509
407,304976.5,136.1506589
407.3,304970.44,136.1479535
407.48,304964.38,136.1452482
407.78,304964.38,136.1452482
407.94,304956.97,136.1419401
408.21,304950.66,136.1391231
408.43,304944.75,136.1364847
408.7,304938.88,136.1338642
408.88,304932.91,136.131199
409.17,304926.81,136.1284758
409.4,304920.78,136.1257838
409.65,304914.75,136.1230918
409.86,304908.72,136.1203999
410.36,304901.69,136.1172615
410.36,304895.66,136.1145695
410.63,304888.88,136.1115427
410.79,304883.59,136.1091811
411.05,304877.59,136.1065025
411.23,304871.59,136.1038239
411.48,304865.59,136.1011453
411.66,304859.28,136.0983284
411.9,304852.66,136.095373
412.03,304847.56,136.0930962
412.26,304840.38,136.0898908
412.41,304834.38,136.0872123
412.62,304828.38,136.0845337
412.81,304822.44,136.0818819
413.05,304816.44,136.0792033
413.25,304810.53,136.0765649
413.73,304804.56,136.0738997
413.73,304798.28,136.0710961
414.1,304791.69,136.0681542
414.33,304786.66,136.0659086
414.7,304779.56,136.062739
414.96,304773.59,136.0600738
415.37,304767.5,136.057355
415.63,304761.72,136.0547747
416.03,304755.81,136.0521363
416.28,304749.88,136.0494889
416.66,304743.94,136.0468371
416.84,304737.97,136.0441719
417.18,304731.63,136.0413416
417.37,304726.13,136.0388862
417.63,304719.03,136.0357166
417.81,304713.09,136.0330648
418.28,304707.19,136.0304308
418.28,304701.25,136.027779
418.57,304695.31,136.0251272
418.74,304689.41,136.0224933
419.06,304683.5,136.0198549
419.3,304677.63,136.0172344
419.63,304671.44,136.014471
419.88,304664.97,136.0115826
420.27,304664.97,136.0115826
420.54,304657.91,136.0084308
420.95,304652.75,136.0061272
421.23,304646.88,136.0035066
421.72,304641,136.0008816
422.02,304634.97,135.9981897
422.49,304629.28,135.9956495
422.82,304623.41,135.9930289
423.6,304617.56,135.9904173
423.6,304611.69,135.9877968
424.07,304604.84,135.9847387
424.38,304599.03,135.982145
424.84,304593.19,135.9795378
425.13,304587.31,135.9769128
425.56,304581.5,135.974319
425.86,304575.5,135.9716405
426.32,304569.09,135.9687788
426.65,304564,135.9665065
427.13,304558.22,135.9639262
427.46,304552.44,135.9613458
427.95,304545.44,135.9582208
428.29,304539.59,135.9556092
428.79,304533.78,135.9530154
429.14,304527.97,135.9504216
429.98,304522.19,135.9478413
429.98,304516.34,135.9452297
430.46,304510.31,135.9425377
430.8,304503.97,135.9397073
431.22,304499.09,135.9375287
431.46,304493.34,135.9349618
431.82,304487.59,135.9323948
432.07,304481.84,135.9298278
432.39,304476.06,135.9272475
432.62,304470.16,135.9246135
432.98,304463.78,135.9217653
433.22,304458.78,135.9195332
433.57,304453,135.9169528
433.8,304447.25,135.9143858
434.15,304441.47,135.9118055
434.39,304435.69,135.9092251
434.98,304429.94,135.9066581
434.98,304424.19,135.9040911
435.28,304418.41,135.9015108
435.5,304412.38,135.8988188
435.79,304406.09,135.8960108
436.02,304401.25,135.89385
436.36,304395.53,135.8912965
436.57,304389.81,135.8887429
436.93,304384.09,135.8861893
437.23,304378.41,135.8836536
437.63,304372.75,135.8811268
437.92,304367.13,135.8786178
438.38,304361.41,135.8760643
438.68,304355.28,135.8733277
439.14,304350.03,135.8709839
439.48,304344.38,135.8684616
440.3,304338.53,135.8658499
440.3,304332.94,135.8633544
440.77,304327.25,135.8608142
441.09,304321.5,135.8582472
441.55,304314.72,135.8552204
441.9,304309.03,135.8526803
442.38,304303.38,135.8501579
442.74,304297.75,135.8476445
443.26,304291.78,135.8449793
443.59,304285.59,135.8422159
444.1,304280.81,135.840082
444.41,304275.19,135.8375731
444.94,304269.53,135.8350463
445.26,304263.91,135.8325373
445.71,304257.13,135.8295105
446.01,304251.44,135.8269704
446.69,304245.81,135.824457
446.69,304240.16,135.8219346
447.08,304234.53,135.8194212
447.34,304228.91,135.8169123
447.71,304223.31,135.8144123
447.92,304217.63,135.8118766
448.28,304212,135.8093632
448.51,304206.09,135.8067248
448.83,304206.09,135.8067248
449.06,304199.44,135.803756
449.36,304193.5,135.8011042
449.55,304188,135.7986488
449.83,304182.5,135.7961935
450.02,304176.88,135.7936845
450.29,304171.25,135.7911711
450.44,304165.66,135.7886756
450.9,304160.09,135.786189
450.9,304154.5,135.7836934
451.17,304148.19,135.7808765
451.33,304142.66,135.7784077
451.68,304137.81,135.7762425
451.91,304132.25,135.7737604
452.16,304126.66,135.7712648
452.38,304121.06,135.7687648
452.7,304115.47,135.7662693
452.93,304109.88,135.7637737
453.34,304104.31,135.7612871
453.57,304098.63,135.7587514
453.91,304092.09,135.7558317
454.13,304086.38,135.7532826
454.47,304080.13,135.7504924
454.66,304075.56,135.7484523
455.19,304070,135.7459701
455.19,304064.47,135.7435013
455.5,304058.94,135.7410326
455.73,304053.38,135.7385504
456.03,304047.81,135.7360638
456.25,304042.25,135.7335817
456.55,304035.56,135.7305951
456.73,304029.28,135.7277915
457,304024.56,135.7256843
457.2,304019.03,135.7232156
457.46,304013.47,135.7207334
457.68,304007.97,135.718278
457.96,304002.44,135.7158093
458.13,303996.91,135.7133405
458.43,303991.09,135.7107423
458.64,303985.06,135.7080503
459.1,303978.34,135.7050503
459.1,303973.69,135.7029744
459.4,303968.16,135.7005057
459.58,303962.63,135.6980369
459.89,303957.13,135.6955815
460.1,303951.63,135.6931262
460.38,303946.09,135.690653
460.56,303940.59,135.6881976
460.85,303935.09,135.6857422
461.04,303928.84,135.682952
461.31,303922.78,135.6802467
461.49,303916.66,135.6775145
461.77,303911.84,135.6753627
461.95,303906.34,135.6729074
462.22,303900.81,135.6704386
462.38,303895.28,135.6679699
462.84,303889.78,135.6655145
462.84,303884.25,135.6630457
463.11,303878.72,135.660577
463.32,303873.06,135.6580502
463.58,303873.06,135.6580502
463.75,303866.47,135.6551082
464.04,303860.72,135.6525412
464.23,303854.63,135.6498225
464.52,303849.94,135.6477287
464.72,303844.44,135.6452733
464.95,303838.97,135.6428314
465.14,303833.5,135.6403894
465.38,303828,135.637934
465.53,303822.53,135.6354921
465.77,303816.09,135.6326171
465.93,303810.63,135.6301796
466.4,303805.16,135.6277376
466.4,303799.03,135.625001
466.65,303794.25,135.622867
466.87,303788.81,135.6204384
467.16,303783.41,135.6180277
467.41,303778,135.6156125
467.8,303772.59,135.6131974
468.07,303767.16,135.6107732
468.5,303761.06,135.60805
468.81,303756.34,135.6059429
469.23,303750.63,135.6033938
469.49,303744.69,135.600742
469.89,303740.06,135.598675
470.18,303734.63,135.5962509
470.63,303729.19,135.5938223
470.93,303723.78,135.5914071
471.6,303718.38,135.5889964
471.6,303712.94,135.5865678
472,303706.47,135.5836794
472.25,303701.06,135.5812642
472.64,303695.66,135.5788535
472.84,303690.25,135.5764383
473.16,303684.56,135.5738981
473.35,303678.63,135.5712508
473.64,303674.03,135.5691972
473.82,303668.66,135.5667999
474.11,303663.25,135.5643847
474.31,303657.84,135.5619695
474.61,303651.34,135.5590677
474.86,303646,135.5566838
475.19,303640.59,135.5542686
475.41,303635.25,135.5518847
476.01,303629.88,135.5494873
476.01,303624.5,135.5470855
476.39,303618.84,135.5445587
476.67,303612.94,135.5419248
477.09,303608.38,135.5398891
477.38,303603.06,135.5375141
477.84,303596.66,135.5346569
478.07,303591.25,135.5322417
478.54,303585.91,135.5298578
478.86,303580.56,135.5274694
479.32,303575.22,135.5250855
479.61,303569.81,135.5226703
480.07,303564.47,135.5202863
480.35,303559.13,135.5179024
480.77,303553.78,135.515514
481.04,303548.25,135.5130452
