FF1,FF2
6791.12,6909.37
6918.58,6980.42
6968.65,7059.21
6994.33,7050.4
6942.65,7127.14
7026.67,7103.97
6881.55,6959.15
6792.19,6951.5
6718.55,6863.62
6629.64,6803.18
6548.54,6660.78
6500,6596.89
6434.83,6519.5
6319.13,6438.03
6196.65,6387.84
5993.24,6188.21
5854.96,5915.68
5600.7,5657.27
5336.06,5704.87
5221.77,5214.03
5145.57,5307.76
4997.62,5111.71
4947.14,5080.24
4788.04,4967.38
4756.16,4912.17
4618.62,4764.1
4481.28,4672.1
4352.05,4504.85
4182.67,4325.68
4069.69,4207.52
3880.68,3972.63
3679.9,3829.12
3553.8,3694.46
3446.5,3561
3420.37,3518.62
3350.06,3473.53
3348.66,3452.46
3355.86,3474.02
3341.91,3462.21
3385.32,3467.93
3459.09,3571.61
3518.46,3644.93
3595.06,3673.77
3702.94,3872.2
3741.82,3852.33
3848.01,3936.88
3914.13,3988.43
3920.54,4081.99
3943.63,4024.47
3939.22,4065.49
4466.84,4399.82
4886.17,4902.5
5022.47,5130.43
5437.36,5458.71
5775.22,5799.58
6113.13,6138.84
6417.22,6453.63
6771.21,6913.73
7062.83,7088.46
7349.43,7441.92
7695.73,7798.13
7949.99,8027.22
8333.4,8282.67
8663.58,8624.37
8971.04,8894.22
9227.23,9422.58
9465.41,9607.14
9834.17,9945.42
10123.24,10256.58
10374.87,10498.22
10685.05,10718.04
10981.36,11183
11309.39,11414.02
11603.6,11762.25
11807.26,11974.05
12162.82,12287.68
12509.32,12636.45
12631.02,12818.39
12845.71,12991.47
12820.77,13042.53
12787.12,12956.38
12747.87,13068.37
12735.85,13016.86
12763.71,12922.85
12673.11,12973.58
12673.81,12864.38
12579.22,12953.54
12554.7,12730.67
12592.72,12895.65
12554.17,12842.08
12491.96,12737.5
12526.23,12659.82
12478.79,12827.19
12504.8,12688.05
12448.31,12633.41
12436.25,12699.85
12409.84,12588.56
12430.49,12564.21
12442.09,12729.52
12442.79,12692.16
12442.46,12639.17
12420.86,12522.08
12361.99,12711.04
12416.58,12589.88
12420.37,12708.29
12453.29,12488.75
12486.12,12741.08
12509.77,12640.98
12452.87,12746.8
12533.1,12734.7
12549.11,12549.11
12465.71,12864.67
12527.88,12693.23
12503.31,12665.42
12540.18,12742.27
12548.45,12660.4
12534.91,12722.07
12507.35,12741.61
12574.57,12815.59
12488.09,12641.39
12470.69,12648.79
12484.39,12627.94
12495.58,12618.27
12479.95,12650.36
12490.6,12558.08
12400.79,12704.13
12441.19,12653.57
12373.63,12507.3
12426.95,12597.86
12372.73,12504.47
12368.37,12650.19
12413.13,12563.59
12372.15,12588.85
12443.49,12590.66
12357.13,12481.55
12342.94,12581.69
12391.78,12567.09
12322.62,12490.73
12308.59,12463.53
12310.77,12539.15
12305.62,12537.92
12299.25,12431.15
12329.03,12399.96
12279.99,12356.43
12233.91,12342.61
12250,12305.33
12175.98,12370.75
12169.73,12304.92
12179.03,12424.16
12152.45,12342.2
12182.4,12324.14
12144.22,12235.56
12117.97,12281.6
12116,12270.32
12162.94,12222.39
12154.18,12297.35
12091.39,12285.26
12187.17,12240.82
12084.93,12329.65
12100.61,12198.36
12049.67,12286.08
12105.87,12153.64
12108.18,12306.53
12093.7,12296.12
12059.46,12152.94
12108.59,12242.71
12101.06,12229.63
12096.66,12102.91
12019.14,12098.3
12071.07,12188.94
12012.15,12076.42
11973.48,12018.65
11962.29,12139.82
11960.48,11999.15
11952.33,12125.05
11934.14,12039.96
11955.54,11969.73
11963.19,11945.05
11925.22,12133.15
11930.85,12115.54
11913.16,11943.44
11925.59,12013.26
11945.91,11942.33
11888.64,11857.37
11898.19,11964.43
11834.74,11982.03
11836.22,11966.56
11819.48,11919.09
11826.19,11934.64
11816.06,11925.46
11813.76,11956.77
11798.13,11930.36
11860.99,11861.94
11799.61,12000.14
11806.85,11929.95
11795.49,11796.19
11800.22,11972.74
11828.32,11808.17
11792.94,11993.55
11739.87,11792.2
11794.34,11733.53
11784.01,11891.4
11687.37,11690.82
11730.16,11725.47
11709.71,11826.84
11697.65,11815.57
11689.47,11838.08
11730.57,11873.25
11646.6,11766.28
11683.63,11757.56
11645.73,11750.89
11613.23,11726.54
11620.64,11624.09
11624.09,11717.12
11625.16,11791.3
11593.73,11684.98
11600.15,11627.22
11617.3,11622.36
11601.87,11714.77
11569.37,11650.01
11597.64,11641.04
11571.18,11697.41
11545.3,11639.23
11510.54,11531.77
11541.64,11606.98
11490.95,11616.93
11525.1,11507.45
11524.86,11489.8
11512.1,11569.33
11491.36,11517.78
11452.57,11642.77
11498.61,11616.32
11498.85,11499.76
11468.98,11398.96
11481.98,11474.58
11442.2,11631.87
11452.48,11543.41
11460.1,11554.52
11473.67,11404.18
11433.11,11350.45
11413.15,11517.2
11401.18,11418.91
11358.14,11436.97
11353.17,11380.07
11334.82,11322.43
11361.68,11382.91
11345.47,11434.42
11164.53,11287.05
11039.74,11138.98
10914.25,10973.05
10681.92,10817.69
10368.25,10334.02
10195.61,10144.43
10008.66,10028.61
9758.76,9701.77
9433.48,9400.94
9170.21,9212.3
8901.09,9026.13
8745.98,8821.44
8655.3,8801.98
8437.91,8493.86
8409.85,8493.53
8348.05,8390.88
8315.38,8454.73
8282.22,8464.86
8297.98,8400.3
8333.24,8452.06
8442.35,8484.97
8433.22,8437.87
8771.86,8876.41
9442.49,9571.89
10073.46,10023.3
10518.25,10617.49
10910.1,10846
11132.89,11115.15
11245.82,11296.92
11241.22,11263.27
11258.17,11184.93
11132.19,11196.45
10992.38,11154.78
10835.63,10877.27
10657.48,10642.18
10601.9,10639.79
10882.45,10797.16
11080.76,11135.07
11129.8,11160.33
11143.63,11298.69
11268.62,11361.35
11185.43,11306.47
11254.55,11238.58
11244.51,11294.5
11228.09,11313.63
11234.88,11152.02
11245.78,11168.68
11214.56,11283.84
11186.74,11133.34
11195.92,11085.7
11175.76,11213.24
11173.17,11115.32
11156.71,11141.49
11178.51,11119.06
11186.25,11153.75
11111.41,11169.92
11076.4,11187.52
11091.54,11035.34
10989.92,10957.17
10986.05,10926.97
10871.55,10780.7
10854.84,10793.17
10773.18,10901.38
10706.69,10845.63
10491.43,10543.68
10112.46,10102.09
9737.77,9864.99
9368.15,9477.42
8943.8,8989.63
8507.73,8662.5
7913.75,7986.82
7588.14,7680.05
7248.96,7444.55
6980.96,7150.79
6736.07,6852.84
6552.37,6654.49
6323.9,6526.94
6243.51,6319.95
6072.07,6248.37
5941.11,6014.3
5859.57,5922.76
5661.38,5786.91
5456.9,5653.44
5365.03,5520.14
5303.11,5464.59
5254.97,5289.16
5081.88,5223.91
5134.46,5135.9
5013.5,5118.71
4980.55,5068.14
4927.27,4918.13
4894.52,5076.45
4870.78,4798.16
4784.01,4921.3
4787.42,4850.62
4694.48,4833.22
4678.81,4790.63
4652.6,4771.75
4618.37,4709.25
4599.15,4684.94
4568.75,4656.88
4603.93,4671.69
4591.54,4672.96
4588.87,4704.52
4589.65,4735.38
4624.7,4718.18
4637.58,4703.66
4631.29,4729.82
4653.5,4725.01
4594.5,4696.13
4617.13,4696.75
4612.57,4746.57
4656.75,4730.89
4682.39,4706
4735.38,4778.62
4729.91,4801.78
4748.05,4831.12
4806.06,4858.07
4841.36,4876.66
4864.69,4946.19
4933.32,4987.34
5011.28,5067.61
4994.41,5074.07
5039.67,5090.77
5039.46,5109.53
5057.77,5139.65
5096.57,5158.45
5167.05,5186.55
5143.93,5221.77
5178.4,5311.13
5213.46,5279.95
5247.32,5278.92
5287.15,5565.23
5315.33,5425.71
5381.12,5335.24
5352.89,5451.8
5381.4,5452.95
5373.96,5460.27
5413.62,5429.87
5406.75,5400.41
5379.02,5420.69
5766.42,5638.71
5967.24,6010.64
6204.71,6190.03
6417.87,6438.49
6630.01,6660.16
6936.69,6902.7
7178.52,7087.84
7438.05,7452.37
7645.7,7668.12
7947.57,7912.1
8094.03,8154.68
8419.52,8479.42
8702.21,8718.58
8877.23,8909.28
9164.24,9121.08
9440.31,9359.34
9637.3,9692.97
9911.44,10007.34
10144.18,10276.7
10322,10356.23
10669.99,10494.8
10887.14,10741.82
11048.42,11069.57
11191.84,11319.39
11193.45,11278.82
11223.85,11310.25
11243.85,11318.93
11237.35,11269.19
11204.19,11272.12
11196.49,11244.22
11147.74,11142.84
11109.52,11138.24
11078.91,11075.57
11064.55,11108.57
11095.78,11148.52
11079.36,11164.98
11077.47,11032.25
11041.02,11038.46
10938.82,10956.88
10933.22,10926.23
10999.5,10905.45
10946.39,10949.18
10899.57,10836.41
10956.55,11019.58
10937.42,10908.95
10964.24,11083.06
10896.19,10865.21
10893.23,10943.79
10947.87,10992.92
10893.19,10935.65
10924.17,10756.84
10929.11,11025.46
10926.93,10823.78
10933.55,10803.04
10918.49,10879.98
10875.29,10942.72
10865.13,10871.05
10853.24,10845.67
10887.63,10938.4
10849.13,10813.54
10812.01,10679.29
10865.46,11041.26
10857.76,10892.78
10814.4,10873.44
10908.86,10776.96
10889.9,10815.47
10875.46,10764.95
10820.24,10868.91
10833.41,10893.89
10803.62,10790.37
10850.07,10788.56
10772.68,10709.32
10829.25,10883.85
10820.08,10759.27
10816.99,10749.39
10772.6,10769.64
10788.48,10969.06
10750.88,10756.8
10738.62,10828.64
10725.86,10802.1
10693.11,10639.05
10789.14,10666.53
10775.52,10688.46
10722.69,10819.01
10722.73,10648.63
10716.85,10587.83
10746.02,10660.2
10758.65,10654.56
10707.59,10673.2
10689.7,10650.98
10687.88,10587.95
10700.68,10736.89
10687.52,10714.59
10678.96,10600.91
10678.75,10672.25
10654.44,10638.6
10647.36,10602.14
10701.5,10677.23
10632.47,10578.9
10688.38,10735.9
10642.71,10639.5
10670.73,10628.11
10623,10704.59
10610.5,10520.15
10592.02,10546.19
10603.75,10621.97
10592.6,10590.67
10599.72,10624.69
10562.4,10635.06
10557.67,10615.93
10535.33,10618.39
10527.39,10457.16
10598.93,10559.19
10573.06,10554.91
10592.64,10481.92
10543.06,10484.06
10486.08,10529.03
10493.44,10548.7
10513.11,10556.11
10508.54,10423.63
10481.55,10565.65
10494.97,10513.32
10465.8,10417.7
10455.1,10440.49
10452.1,10402.56
10464.15,10521.87
10512.66,10527.92
10524.92,10414.82
10430.46,10506.53
10462.42,10435.39
10415.81,10480.61
10394.08,10359.36
10399.93,10243.71
10391.21,10393.34
10310.4,10345.91
10334.02,10308.18
10393.67,10284.97
10414.9,10466.13
10377.42,10438.23
10353.15,10423.79
10347.22,10345.99
10348.42,10336.24
10345.08,10399.84
10406.84,10390.05
10413.67,10354.18
10382.28,10357.38
10348.83,10370.3
10398.45,10306.24
10330.31,10403.71
10314.47,10221
10269.83,10346.48
10315.17,10299.37
10268.68,10337.88
10302.09,10215.36
10261.36,10252.88
10195.78,10151.42
10247.78,10168.83
10204.91,10239.92
10278.93,10247.74
10219.23,10301.72
10236.05,10197.63
10315.34,10200.59
10254.69,10322.74
10250.33,10301.68
10254.86,10371.62
10230.95,10272.59
10230.99,10164.01
10192.94,10189.93
10211.08,10105.02
10204.09,10156.07
10170.23,10175.53
10143.77,10037.29
10222.27,10155.5
10116.95,10048.11
10159.49,10226.55
10182.53,9957.6
10171.01,10186.85
10151.42,10202.2
10144.39,10133.73
10142.91,10273.13
10117.28,10114.97
10098.23,10071.24
10083.74,10161.22
10156.16,10267.82
10082.96,10177.18
10163.68,10139.37
10154.35,10212.48
10125.34,10158.42
10178.58,10193.14
10158.95,10161.13
10140.32,10114.23
10104.19,10044.25
10087.94,10069.63
10033.3,9987.47
10056.55,10123.2
10073.62,10116.66
9989.94,9947.89
10003.89,9967.35
10076.54,9941.6
10014.25,10103.45
10085.18,10037.25
10035.98,10137.6
10090.86,9962.37
10026.47,10060.58
10014.83,9995
10008.53,9938.06
10077.61,10008
10010.8,9989.94
10037.79,9951.92
9959.78,10074.45
10011.46,9913.54
10030.38,9884.94
9994.18,10015.36
10006.19,9947.15
10007.59,10046.67
10012.28,10048.61
9942.05,9846.47
9914.19,10004.87
10028.12,9874.37
9966.12,10024.17
9977.88,9991.21
9969.41,9889.59
9968.67,9916
9909.75,10015.73
9925.59,9892.22
9959.66,9983.07
9974.84,9997.63
9929.29,9944.31
9941.1,9944.97
9937.4,9930.9
9975.5,9818.7
9957.35,9927.52
9948.42,9880.83
9967.76,9865.65
9955.25,10046.71
9972.21,9906.95
9974.18,9954.43
10012.11,9957.97
10005.86,9774.97
9952.58,9924.6
9934.44,9914.77
9966.73,9920.53
9950.69,9887.66
9919.3,10005.45
9966.12,9938.3
9974.92,9894.2
9932.79,9772
9924.15,9799.37
9974.1,9961.1
9926.37,9872.93
9908.02,9909.67
9935.09,9744.03
9895.97,9883.5
9891.07,9873.3
9890.91,9812.41
9907.2,9889.43
9892.06,9781.71
9918.72,9739.95
9850.75,9774.43
9810.93,9829.36
9833.72,9826.89
9793.48,9681.65
9779.41,9688.69
9793.23,9729.3
9825.24,9727.82
9799.98,9707.12
9782.7,9555.59
9807.96,9785.83
9816.85,9668.65
9801.22,9772.38
9790.93,9789.78
9810.31,9754.44
9786.49,9692.8
9816.73,9689.43
9788.01,9686.92
9775.42,9700.46
9772.09,9701.69
9789.61,9669.11
9741.06,9682.31
9809.16,9781.92
9771.84,9670.71
9794.63,9581.22
9743.2,9710.21
9728.56,9650.02
9724.2,9635.16
9744.52,9751.64
9707.04,9631.87
9754.15,9658.74
9681.98,9663.72
9669.11,9606.77
9698.85,9631.09
9698.03,9710.04
9699.35,9607.27
9711.48,9616.65
9660.84,9584.43
9673.26,9523.09
9656.06,9581.23
9687.17,9751.72
9759.25,9565.96
9663.43,9543.21
9626.85,9699.02
9690.13,9657.13
9707.99,9535.93
9633.6,9633.6
9676.43,9556.79
9663.68,9719.42
9676.72,9622.66
9702.8,9524.78
9588.26,9454.92
9656.52,9598.13
9668.45,9571.23
9640.1,9682.77
9677.29,9498.08
9648.74,9431.79
9671.86,9561.11
9610.11,9491.66
9648.33,9598.5
9632.08,9580.69
9600.77,9503.05
9644.13,9668.82
9600.19,9423.94
9596.33,9599.53
9580.69,9563.66
9565.96,9472.57
9556.5,9575.01
9507.58,9583.08
9499.19,9608.54
9556.91,9388.8
9545.31,9527.7
9503.67,9455.45
9465.24,9448.99
9510.54,9447.35
9460.76,9449.45
9450.8,9462.69
9485.57,9428.87
9454.13,9476.11
9482.65,9364.9
9440.11,9423.44
9445.41,9498.08
9442.53,9371.56
9427.15,9452.04
9394.48,9459.15
9442.66,9286.35
9399.29,9347.82
9400.53,9329.02
9363.99,9266.44
9404.85,9357.12
9440.48,9288.33
9377.28,9262.45
9371.93,9460.72
9340.79,9208.84
9326.71,9371.93
9313.1,9294.87
9337.5,9215.01
9309.97,9322.72
9359.96,9373.74
9333.5,9218.39
9323.34,9299.36
9352.8,9298.57
9329.14,9219.54
9301.25,9208.96
9322.72,9336.96
9275.16,9343.91
9275.45,9211.76
9307.5,9249.16
9301.49,9280.06
9329.51,9276.15
9332.15,9248.42
9325.11,9202.59
9281.38,9318.16
9260.97,9283.6
9264.14,9276.27
9281.54,9146.18
9294.58,9161.4
9307.5,9170.37
9286.56,9180.12
9290.14,9208.02
9260.6,9199.67
9293.97,9244.55
9284.3,9122.36
9248.91,9322.31
9215.01,9254.67
9218.22,9298.04
9247.93,9174.32
9217.52,9239.16
9267.02,9249.28
9229.17,9212.38
9260.35,9196.5
9282.16,9118.08
9229.87,9217.97
9207.2,9118.12
9190.49,9186.58
9184.81,9147.99
9200.78,9070.6
9142.07,9119.89
9182.51,9124.79
9219.5,9142.15
9120.14,9254.06
9217.89,9172.18
9111.99,9058.42
9164.94,9131.53
9173.75,9078.75
9192.22,9110.02
9151.65,9138.32
9192.14,9067.56
9166.96,9227.69
9140.38,9023.12
9145.07,9074.14
9186.17,8989.59
9159.63,9088.09
9109.4,9146.51
9141.74,9042.05
9148.44,9033.37
9112.24,9113.97
9102.45,9044.97
9045.01,9057.06
9124.83,9019.46
9111.91,9068.21
9101.29,9036.7
9096.85,9035.46
9070.03,8990.25
9093.52,8997.2
9055.58,9065.54
9084.01,8925.12
9041.02,9004.69
9006.34,9023.21
9018.8,8915.99
9021.97,8916.52
8979.59,9026.41
9034.89,8925
9000.08,8986.42
8991.94,9034.97
8992.68,8979.47
9006.34,8856.58
8873.69,8774.04
8963.92,8871.51
8900.93,8873.12
8960.42,8865.22
8866.45,8964.21
8921.33,8745.08
8912.53,8816.42
8825.39,8731.75
8873.53,8786.22
8802.23,8788.86
8809.01,8703.85
8808.69,8767.63
8819.34,8710.27
8766.06,8721.87
8806.01,8737.02
8741.95,8680.32
8780.79,8620.46
8731.58,8601.9
8762.56,8634.73
8764.09,8682.79
8726.07,8675.14
8775.2,8643.95
8727.1,8686.25
8758.57,8775.4
8703.03,8621.86
8744.83,8765.61
8720.02,8484.73
8694.97,8698.83
8714.96,8587.5
8674.97,8670.36
8701.14,8686.82
8687.31,8743.1
8696.78,8587.17
8682.95,8664.11
8699.45,8649.79
8673.9,8607.5
8614.57,8639.05
8685.17,8686.82
8645.35,8576.48
8625.11,8497.32
8630.7,8524.92
8633.66,8553.31
8600.46,8464.9
8595.4,8586.55
8581.62,8568.99
8597.95,8586.14
8601.9,8495.96
8579.73,8606.88
8611.53,8467.98
8595.48,8424.66
8598.2,8479.71
8525.71,8394.42
8493.7,8456.26
8517.07,8517.07
8452.27,8470.16
8430.42,8527.02
8470.94,8440.46
8461.03,8334.93
8401.91,8444.12
8345.91,8372.82
8372.49,8393.47
8407.79,8269.01
8324.11,8317.52
8315.88,8304.36
8221.33,8250.71
7955.88,7972.91
7815.46,7739.88
7590.53,7455.54
7490.55,7372.47
7235.67,7198.77
7046.91,7038.27
6958.61,6901.26
6927.55,6790.59
6915.17,6819.26
6853.41,6717.93
6789.64,6762.45
6867.57,6818.65
6845.76,6758.25
6718.18,6687.44
6630.99,6528.88
6466.09,6340.94
6412.03,6306.38
6260.34,6205.91
6179.41,6100.91
6086.67,6016.9
5951.03,5900.46
5729.47,5853.02
5787.11,5778.97
5789.13,5723.3
5741.24,5718.69
5713.67,5694.01
5664.18,5579.14
5639.2,5559.72
5632.87,5536.68
5550.46,5532.15
5495.25,5446.49
5434.85,5389.26
5355.73,5325.2
5360.05,5253.12
5318.7,5239.91
5267.19,5210.58
5047.69,5022.8
4857.08,4787.75
4734.39,4698.23
4666.34,4631.29
4636.55,4611.74
4633.51,4604.05
4652.85,4613.92
4654.41,4587.26
4711.31,4633.55
4668.36,4606.11
4652.76,4657.37
4601.01,4556
4564.47,4603.47
4541.47,4533.82
4461.61,4459.56
4435.94,4425.04
4454.62,4423.31
4491.24,4436.8
4495.1,4438.66
4398.58,4372.21
4449.6,4431.42
4442.32,4419.57
4443.96,4414.79
4450.67,4361.35
4441.04,4386.94
4433.88,4427.22
4459.56,4434.13
4467.25,4420.31
4530.28,4475.03
4540.03,4509.42
4672.39,4637.38
4689.71,4642.97
4685.76,4701.72
4748.83,4740.48
4724.56,4717.44
4747.15,4704.77
4721.68,4697.77
4765.66,4705.01
4712.5,4712.26
4732.62,4687.73
4752.91,4715.18
4775.7,4722.05
4795.04,4785.94
4838.65,4821.53
4884.69,4882.59
4892.21,4847.37
4910.81,4872.47
4958.7,4937.55
5037.16,4943.48
5048.02,4996.18
5034.69,5013.42
5062.05,4966.19
5052.01,5039.01
5038.89,5001.41
5026.26,5023.17
5068.72,4982.32
5009.06,4954.63
4992.93,4942.53
4943.64,4921.51
4919.78,4884.81
4957.55,4946.65
4905.38,4880.82
4939.49,4906.45
4933.77,4846.55
4882.34,4859.92
4905.09,4900.98
4889.25,4872.55
4894.77,4855.84
4877.65,4820.38
4849.47,4801.25
4762.78,4791.91
4710.94,4717.03
4745.29,4678.72
4729.04,4641.57
4679.05,4671.28
4694.56,4641.08
4691.73,4644.12
4708.27,4641.28
4635.57,4604.83
4585.7,4608.66
4607.38,4639.97
4569.98,4546.33
4611.5,4543.24
4596.19,4596.73
4644.41,4548.38
4607.38,4632.93
4622.98,4575.58
4607.34,4598
4679.96,4601.21
4649.55,4619.15
4664.2,4620.59
4671.24,4658.4
5495.29,5228.11
5661.92,5541.94
5715.98,5621.92
5893.71,5823.69
6106.63,6000.44
6326.87,6141.15
6549.37,6419.19
6765.86,6603.72
6868.96,6848.89
7048.51,6864.77
7275.95,7140.34
7502.81,7378.56
7652.65,7556.3
7901.69,7694.45
8004.84,7972.5
8050.18,7976.82
8063.59,7992.33
8058.65,7978.13
8173.23,7958.35
8135.59,8193.6
8089.76,8024.01
8112.88,7954.52
8107.49,7989.66
8139.91,7981.51
8142.95,8024.42
8075.77,7980.15
8061.45,7976.45
7970.52,7933.17
8003.36,7798.92
7927.94,7911.2
7979.7,7907.45
7980.19,7875.24
7965.92,7861.87
7835.62,7797.89
7885.32,7768.76
7846.11,7817.6
7868.57,7735.39
7871.08,7822.25
7846.07,7802.78
7830.47,7706.67
7771.1,7707.7
7827.59,7719.06
7820.19,7767.57
7828.79,7644.01
7733.62,7664.58
7824.3,7631.3
7811.55,7761.19
7802,7698.57
7776.95,7671.99
7732.47,7753.5
7750.86,7631.59
7749.42,7726.42
7694.87,7655.2
7801.43,7779.42
7782.75,7697.17
7777.65,7815.62
7708.28,7724.57
7762.01,7626.86
7736.58,7635.99
7729.51,7665.12
7678.99,7693.51
7697.58,7756.25
7746.29,7657.92
7578.27,7532.89
7428.84,7367.86
7136.89,7176.96
6786.35,6680.9
6365.38,6474.82
6110.41,6048.66
6103.38,6013.11
6018.54,5902.15
5630.85,5753.42
5522.03,5506.64
5490.47,5446.94
5399.92,5318.37
5301.26,5208.81
5226.09,5227.45
5194.08,5214.69
5116.94,5112
5008.4,5060.12
4991.82,4939.36
4968.74,4942.98
4866.46,4915.58
4812.81,4800.3
4756.16,4759.57
4727.36,4691.85
4684.48,4661.69
4628.98,4593.15
4562.25,4567.84
4532.5,4527.24
4563.57,4562.95
4568.21,4522.42
4552.21,4532.21
4504.48,4496.13
4499.22,4457.13
4466.67,4463.01
4421.42,4440.84
4355.14,4343.08
4291.53,4249.15
4160.86,4199.08
4141.15,4131.11
4128.97,4122.76
4120.13,4154.73
4110.25,4080.96
4144.73,4081.21
4118.19,4129.43
4143.91,4114.33
4148.48,4108.73
4132.18,4119.8
4130.83,4147.61
4133.54,4117.7
4190.4,4144.9
4207.35,4210.56
4236.15,4188.96
4252.28,4183.57
4265.16,4287.42
4261.82,4285.03
4336.17,4285.77
4369.82,4333.99
4356.91,4370.69
4435.41,4406.73
4428.66,4412.37
4407.96,4431.58
4429.19,4409.98
4461.86,4448.94
4435.04,4460.05
4467.33,4426.77
4450.01,4398.67
4446.72,4427.59
4463.67,4423.64
4450.05,4427.55
4476.22,4432.44
4468.77,4430.51
4476.1,4433.1
4462.11,4436.97
4460.54,4440.14
4478.89,4460.05
4472.19,4463.05
4451.58,4422.69
